순번,결함유형,점검일자,광역자치단체,기초자치단체,체육시설,시설물명,주소,건물구분,위치구분,점검항목,지적사항,이미지URL,이미지파일이름,이미지확장자,가로해상도,세로해상도
17,"균열, 누수",2025-07-31,경상남도,거창군,육상경기장,거창종합운동장,경상남도 거창군 거창읍 심소정길 39-36,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"균열, 누수, 침수, 백태",25상-1(조치필요) 1층 외부 주출입구 보 균열 다수 발생,http://openapi.kspo.or.kr/web/ai/,017_365328BAF8DEEA65F16C173BEDA5DA3B.jpg,jpg,386,289
18,"균열, 누수",2025-06-25,경기도,김포시,육상경기장,김포시종합운동장,경기도 김포시 돌문로15번길 20 (사우동),건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"균열, 누수, 침수, 백태",25상-3(조치필요) 1층 계단실 벽체 균열,http://openapi.kspo.or.kr/web/ai/,018_E565127C940127A1D3CFF92F3451A05B.jpg,jpg,382,286
19,"균열, 누수",2025-05-21,경기도,의정부시,육상경기장,의정부종합운동장주경기장,의정부시 체육로90,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"균열, 누수, 침수, 백태",25상-1(조치필요) 스탠드층 기둥 망상균열 및 도장박락 다수 발생,http://openapi.kspo.or.kr/web/ai/,019_DB47D67E7D0435C040C46FD1882A9086.jpg,jpg,213,280
20,"균열, 누수",2025-09-08,전북특별자치도,진안군,체육관,진안문예체육회관,전라북도 진안군 진안읍 진무로 1054-38,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"균열, 누수, 침수, 백태",25상-1(조치필요) 2층 복도 벽체 균열 및 누수흔적,http://openapi.kspo.or.kr/web/ai/,020_22DA7E25C7F33FC5130EAA57ED44251F.jpg,jpg,215,287
21,"균열, 누수",2025-08-26,인천광역시,서구,체육관,(취약시설)인천서구국민체육센터(구: 서구국민체육센터체육관),인천광역시 서구 승학로 525 (검암동),건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"균열, 누수, 침수, 백태",25하-1(조치필요) 지하1층 수영장 PIT 슬래브 균열 및 누수흔적/백태(주의관찰),http://openapi.kspo.or.kr/web/ai/,021_4BCD2252747B7E9E7F59263461CC379F.jpg,jpg,333,250
22,"균열, 누수",2025-06-10,경상남도,사천시,육상경기장,삼천포종합운동장,경상남도 사천시 주공로 32 (벌리동),건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"균열, 누수, 침수, 백태",25상-11(조치필요) 2층 상부보 균열,http://openapi.kspo.or.kr/web/ai/,022_903CC85D492BF379A9B7B78AD9400DD0.jpg,jpg,368,276
23,"균열, 누수",2025-05-26,경상남도,하동군,체육관,(취약시설)하동체육관,경상남도 하동군 적량면 공설운동장로 207,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"균열, 누수, 침수, 백태",25상-2(조치필요) 옥상 파라펫 습식균열,http://openapi.kspo.or.kr/web/ai/,023_7F791745E1C1E97516622099E35736B0.jpg,jpg,382,286
24,"균열, 누수",2025-06-17,충청남도,청양군,체육관,(취약시설)(취약시설)청양군문화체육센터,충청남도 청양군 청양읍 칠갑산로 221,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"균열, 누수, 침수, 백태",25상-3(조치필요) 외부 계단 벽체 망상균열,http://openapi.kspo.or.kr/web/ai/,024_BA91994AE03EC71CCCFFE7BFA2A8D26B.jpg,jpg,216,287
25,"균열, 누수",2025-06-24,충청북도,음성군,체육관,대소국민체육센터,충청북도 음성군 대소면 대성로 39,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"균열, 누수, 침수, 백태",25상-1(조치필요) 파라펫 균열 지상2층 옥상 다수,http://openapi.kspo.or.kr/web/ai/,025_EA2D4FF6BFAA642C9BABA8DF55A267DA.jpg,jpg,361,270
26,"균열, 누수",2025-09-08,서울특별시,중랑구,수영장,중랑문화체육관 수영장,서울특별시 중랑구 사가정로72길 47 (면목동),건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"균열, 누수, 침수, 백태","25하-1 (조치필요) 수영장 PIT층 슬래브 균열, 누수, 백태 다수발생",http://openapi.kspo.or.kr/web/ai/,026_0A790C22F27CBE0F824744EE8E45FEB1.jpg,jpg,365,273
27,"탈락, 철근노출",2025-05-19,경기도,포천시,육상경기장,포천종합운동장,경기도 포천시 군내면 호국로 1518,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"콘크리트 탈락, 철근 노출",25상-6(조치필요) 2층 기둥 콘크리트 박락,http://openapi.kspo.or.kr/web/ai/,027_C1D6484EDE514DC25B84C0966B6A28F8.jpg,jpg,331,248
28,"탈락, 철근노출",2025-06-25,경기도,김포시,육상경기장,김포시종합운동장,경기도 김포시 돌문로15번길 20 (사우동),건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"콘크리트 탈락, 철근 노출",25상-10(조치필요) 2층 난간벽체 박락,http://openapi.kspo.or.kr/web/ai/,028_17644B2B8ED99C9765C335927DE78471.jpg,jpg,330,247
29,"탈락, 철근노출",2025-06-09,경상남도,고성군,체육관,고성군 실내체육관,경상남도 고성군 고성읍 교사4길 171-4,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"콘크리트 탈락, 철근 노출",25상-5(조치필요) 외부 벽체 철근노출,http://openapi.kspo.or.kr/web/ai/,029_7FBC97CCE9560B0ABF8E968D6921BF71.jpg,jpg,331,248
30,"탈락, 철근노출",2025-05-22,경기도,안성시,체육관,안성시농민문화체육센터,경기도 안성시 일죽면 주래본죽로 6,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"콘크리트 탈락, 철근 노출",25상-2(조치필요) 외부 처마 슬래브 콘크리트 박락,http://openapi.kspo.or.kr/web/ai/,030_8A8593877E228621A1BE1BB41C9C69DE.jpg,jpg,331,247
31,"탈락, 철근노출",2025-06-09,경상남도,사천시,체육관,삼천포체육관,경상남도 사천시 주공로 32-1 (용강동),건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"콘크리트 탈락, 철근 노출","25상-12(조치필요) 야외 난간벽체 들뜸, 박락",http://openapi.kspo.or.kr/web/ai/,031_9855197E25C57C1E40625C6BC2EEBFA8.jpg,jpg,331,248
32,"탈락, 철근노출",2025-08-05,충청남도,청양군,체육관,(취약시설)(취약시설)청양군문화체육센터,충청남도 청양군 청양읍 칠갑산로 221,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"콘크리트 탈락, 철근 노출",25상-4(조치필요) 지상3층 발코니 조형물 철근노출 및 부식,http://openapi.kspo.or.kr/web/ai/,032_94EEB6AC6E1189FB3776CFEDF1CFADA0.jpg,jpg,331,248
33,"탈락, 철근노출",2025-08-04,충청남도,공주시,체육관,백제체육관,충청남도 공주시 고마나루길 51-14(웅진동),건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"콘크리트 탈락, 철근 노출",25상-2(조치필요) 계단 철근노출,http://openapi.kspo.or.kr/web/ai/,033_73DB5D667056C131F2FFA5E15463BF29.jpg,jpg,331,248
34,"탈락, 철근노출",2025-07-15,경기도,부천시,수영장,소사국민체육센터 수영장,경기도 부천시 소사로 108 (소사본동),건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"콘크리트 탈락, 철근 노출","25하-1(조치필요) pit층 기둥 박락, 철근노출(12개소)",http://openapi.kspo.or.kr/web/ai/,034_3D0A73BA0E9CFFE625556BA3AFF9EE45.jpg,jpg,330,248
35,"탈락, 철근노출",2025-09-24,부산광역시,서구,육상경기장,구덕종합운동장주경기장,부산광역시 서구 대신로 150 (서대신동3가),건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"콘크리트 탈락, 철근 노출",(조치필요) 지상 1층 직2문 천장 슬래브 철근노출 및 부식,http://openapi.kspo.or.kr/web/ai/,035_FE0D8049AFC0BDAA1DF7ED81AA1A0FB3.jpg,jpg,330,248
36,"탈락, 철근노출",2025-09-23,부산광역시,동래구,체육관,부산종합운동장 실내체육관,부산광역시 동래구 사직로 55-32(사직동),건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"콘크리트 탈락, 철근 노출",(조치필요)지상 4층 2. 상부 슬래브 철근노출,http://openapi.kspo.or.kr/web/ai/,036_CC83D34B55DBD0CC917875ECEC182B73.jpg,jpg,330,248
37,"탈락, 철근노출",2025-08-12,충청북도,청주시,육상경기장,청주종합경기장 육상경기장,충청북도 청주시 서원구 사직대로 229 (사직동),건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"콘크리트 탈락, 철근 노출",25상-3(조치필요) 1층 웨이트 트레이닝장 슬래브 콘크리트 박락,http://openapi.kspo.or.kr/web/ai/,037_07E6390C318275D2E410660F92BCA59B.jpg,jpg,384,289
38,"탈락, 철근노출",2025-05-19,경기도,포천시,육상경기장,포천종합운동장,경기도 포천시 군내면 호국로 1518,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"콘크리트 탈락, 철근 노출",25상-6(조치필요) 2층 기둥 콘크리트 박락,http://openapi.kspo.or.kr/web/ai/,038_FBEE88FC85CC252D2F682568FEB3707B.jpg,jpg,380,286
39,"탈락, 철근노출",2025-06-10,경상남도,함양군,체육관,연암체육관,경상남도 함양군 안의면 거함대로 1648,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"콘크리트 탈락, 철근 노출",25상-4(조치필요) 2층 방송실 보 콘크리트 박락,http://openapi.kspo.or.kr/web/ai/,039_3F5CBB6928327B670F8BD4B5D5769EFE.jpg,jpg,367,276
40,"탈락, 철근노출",2025-06-17,충청남도,청양군,체육관,(취약시설)(취약시설)청양군문화체육센터,충청남도 청양군 청양읍 칠갑산로 221,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"콘크리트 탈락, 철근 노출",25상-4(조치필요) 지상3층 발코니 조형물 철근노출 및 부식,http://openapi.kspo.or.kr/web/ai/,040_DDC0BC16A12C6CEEBCCAB5DDA8BF6F67.jpg,jpg,209,279
41,"탈락, 철근노출",2025-06-10,경상남도,창녕군,육상경기장,창녕공설운동장,경상남도 창녕군 창녕읍 창녕대로 305,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"콘크리트 탈락, 철근 노출","25상-8(조치필요) 관람석 슬래브 콘크리트 박락 및 철근노출,부식",http://openapi.kspo.or.kr/web/ai/,041_EC128B565F6B30FCEA34FB88EDB9D65B.jpg,jpg,381,287
42,"탈락, 철근노출",2025-06-23,충청북도,청주시,체육관,청주체육관,충청북도 청주시 서원구 사직대로 229 (사직동),건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"콘크리트 탈락, 철근 노출",25상-3(조치필요) 슬래브 콘크리트 들뜸 지상3층 북문 서문 측 계단실 앞 상부,http://openapi.kspo.or.kr/web/ai/,042_05FE079BFA3F3825064EC26AFFAC782B.jpg,jpg,382,286
43,"탈락, 철근노출",2025-09-18,경상북도,영주시,육상경기장,영주시민운동장,경상북도 영주시 가흥로 109 (가흥동),건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"콘크리트 탈락, 철근 노출",25하-5(조치필요) 본부석 좌측 방향 관람석 파라펫 콘크리트 박락 및 철근 부식,http://openapi.kspo.or.kr/web/ai/,043_5B12C522E38E8AFB13A6989BAACE92B9.jpg,jpg,201,267
44,"탈락, 철근노출",2025-09-09,서울특별시,성동구,수영장,성동구민종합체육센터수영장,성수1가 685-20,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"콘크리트 탈락, 철근 노출",25상-2(조치필요) 지하 2층 처치실 슬래브 하부 철근 노출,http://openapi.kspo.or.kr/web/ai/,044_630EAD236F5E5D2C718D7C62395FCC59.jpg,jpg,394,296
45,"탈락, 철근노출",2025-07-23,서울특별시,서초구,테니스장,시민의숲테니스장,서초구 양재동 224번지외3필지,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"콘크리트 탈락, 철근 노출",25상-2(조치필요) 1층 상부 콘크리트 보 박락,http://openapi.kspo.or.kr/web/ai/,045_C0494BEBCD1DF8B75C792645513F2028.jpg,jpg,383,289
46,"탈락, 철근노출",2025-08-26,경기도,의정부시,육상경기장,의정부종합운동장주경기장,의정부시 체육로90,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"콘크리트 탈락, 철근 노출",25상-5(조치필요) 1층 외부벽체 콘크리트 탈락 맟 철근노출 다수 발생,http://openapi.kspo.or.kr/web/ai/,046_5BE130A4B88467565E6A6604A16A6B76.jpg,jpg,207,277
47,철골재 볼트누락,2025-05-19,전북특별자치도,임실군,체육관,임실군군민회관체육관,전라북도 임실군 임실읍 호국로 1703,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),철골재 접합부 볼트 누락 여부,(조치필요)지붕층 2. 스페이스프레임 접합부 핀 탈락,http://openapi.kspo.or.kr/web/ai/,047_2E476FE7928EAA2536751267BB932F72.jpg,jpg,332,248
48,철골재 볼트누락,2025-06-09,경상남도,사천시,체육관,삼천포체육관,경상남도 사천시 주공로 32-1 (용강동),건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),철골재 접합부 볼트 누락 여부,25상-3(조치필요) 2층 철골기둥 접합부 볼트 체결불량,http://openapi.kspo.or.kr/web/ai/,048_17A2B79534540C5FC511A30D82F9E3A6.jpg,jpg,330,248
49,철골재 볼트누락,2025-07-14,경기도,부천시,체육관,부천체육관,경기도 부천시 석천로 293 (중동),건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),철골재 접합부 볼트 누락 여부,25상-4(조치필요) 지붕층(음향실 상부) 주각부 앵커볼트 체결불량,http://openapi.kspo.or.kr/web/ai/,049_80565D7EF3FCD9C5DD08E8E8D2EF3C00.jpg,jpg,225,301
50,철골재 볼트누락,2025-07-17,경기도,구리시,체육관,구리시체육관,교문동 3-2번지 일원,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),철골재 접합부 볼트 누락 여부,25하-2(조치필요) 지상2층 지붕 트러스 철골 접합부 볼트 탈락,http://openapi.kspo.or.kr/web/ai/,050_CC42ED005236B7C73910438BE1B2E511.jpg,jpg,215,286
51,철골재 볼트누락,2025-08-21,전라남도,광양시,체육관,광양시실내체육관,전라남도 광양시 광양읍 매천로 695-20,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),철골재 접합부 볼트 누락 여부,25하-1(조치필요) 지상 2층 천장 스페이스프레임 안전핀 미시공,http://openapi.kspo.or.kr/web/ai/,051_1394201445C666D1BA7A8DB70947B81B.png,png,212,130
52,철골재 볼트누락,2025-07-24,충청북도,제천시,하키장,청풍명월국제하키장,충청북도 제천시 청풍면 물태리103,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),철골재 접합부 볼트 누락 여부,25하-1 (조치필요) 지상 1층 경기장 외부 감시탑 철제 구조물 기초 앵커볼트 누락,http://openapi.kspo.or.kr/web/ai/,052_864A1C927628905A486C9FCA89EBBF2B.png,png,476,290
53,철골재 볼트누락,2025-08-06,충청남도,예산군,전천후게이트볼장,예산게이트볼장,충청남도 예산군 예산읍 예산로 320-17,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),철골재 접합부 볼트 누락 여부,25상-1(조치필요) 1층 게이트볼장 철골재 보 접합부 볼트 풀림,http://openapi.kspo.or.kr/web/ai/,053_14AD1AE1B34B25A608A35683D87049B3.jpg,jpg,211,282
54,철골재 부식,2025-06-17,경상남도,남해군,야구장,남해스포츠파크인조야구장,경상남도 남해군 서면 스포츠파크길 74,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"철골재 부식, 도장 탈락 여부",25상-6(조치필요)  필드 본부석 철골구조체 표면부식(전반적),http://openapi.kspo.or.kr/web/ai/,054_3F1A1D5BC04DD24DD32527B624ADCCC1.jpg,jpg,331,248
55,철골재 부식,2025-05-28,울산광역시,울주군,전천후게이트볼장,웅촌게이트볼장,울산광역시 울주군 웅촌면 웅촌로 378-1,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"철골재 부식, 도장 탈락 여부","25상-3(조치필요) 내부 철골기둥 도장박락, 표면부식",http://openapi.kspo.or.kr/web/ai/,055_E62DA94929AB6978FE061E8AD51E37D8.jpg,jpg,331,248
56,철골재 부식,2025-05-27,울산광역시,남구,축구장,문수축구경기장,옥동산5번지,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"철골재 부식, 도장 탈락 여부",25상-10(조치필요)  3층 상부 지붕구조체 접합부 볼트 부식(전반적),http://openapi.kspo.or.kr/web/ai/,056_571CA66A98A19A2AA910461E22EB5999.jpg,jpg,331,247
57,철골재 부식,2025-06-09,경상남도,사천시,체육관,삼천포체육관,경상남도 사천시 주공로 32-1 (용강동),건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"철골재 부식, 도장 탈락 여부","25상-7(조치필요) 지붕 철골트러스 도장박락, 부식",http://openapi.kspo.or.kr/web/ai/,057_A000D965D68150CAE620D0FF0AC56ACC.jpg,jpg,331,247
58,철골재 부식,2025-05-28,울산광역시,북구,체육관,오토밸리복지센터,울산광역시 북구 산업로 1020 (연암동),건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"철골재 부식, 도장 탈락 여부","25상-2(조치필요) 3층 체육관, 2층 헬스장 조깅구역 상부 철골보 부식",http://openapi.kspo.or.kr/web/ai/,058_A2938143F62EC9A64FB0264C552B8429.jpg,jpg,331,248
59,철골재 부식,2025-09-08,전북특별자치도,진안군,체육관,진안문예체육회관,전라북도 진안군 진안읍 진무로 1054-38,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"철골재 부식, 도장 탈락 여부",25상-3(조치필요) 3층 체육관 관람석 트러스 도장 부식,http://openapi.kspo.or.kr/web/ai/,059_07A4FCF3218DD86A17BF86E0A889D01E.jpg,jpg,331,247
60,철골재 부식,2025-09-10,전북특별자치도,무주군,테니스장,반딧불체육관테니스장,전라북도 무주군 무주읍 한풍루로 326-14,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"철골재 부식, 도장 탈락 여부",25상-3(조치필요) 지붕층(내부) 철골구조체 표면부식,http://openapi.kspo.or.kr/web/ai/,060_08C14E3CFBFB709F7EA5FEA2ACF79F4F.jpg,jpg,330,247
61,철골재 부식,2025-07-14,경기도,부천시,육상경기장,부천종합운동장,경기도 부천시 소사로 482 (춘의동),건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"철골재 부식, 도장 탈락 여부",25하-3(조치필요) 3층 스텐드 상부 철골보 도장박락(다수),http://openapi.kspo.or.kr/web/ai/,061_7129432491E411EE99841533D743A37D.jpg,jpg,330,248
62,철골재 부식,2025-09-02,대구광역시,북구,사격장,대구국제사격장,대구광역시 북구 문주길 170 (금호동),건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"철골재 부식, 도장 탈락 여부",25상-2(조치필요) 실내사격장 지상 1층 50M사격장 철판부식 및 접합부 부식 다수 발생,http://openapi.kspo.or.kr/web/ai/,062_3C0D09E30E7A577AB2FB871534D92D62.jpg,jpg,330,248
63,철골재 부식,2025-08-07,충청남도,청양군,전천후게이트볼장,대치면게이트볼장,충청남도 청양군 대치면 칠갑산로 505-3,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"철골재 부식, 도장 탈락 여부",25상-2(조치필요) 철골 부재 도장 박리 전반적,http://openapi.kspo.or.kr/web/ai/,063_5C4370FEB9763DA73A095E78DADA9D7D.jpg,jpg,330,247
64,철골재 부식,2025-07-28,충청남도,서천군,체육관,한산모시체육관,충청남도 서천군 한산면 충절로1174번길 22,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"철골재 부식, 도장 탈락 여부",25상-1(조치필요) 철골 부재 부식발생 (점검로 통해 확인),http://openapi.kspo.or.kr/web/ai/,064_AF5AE694B18C251D83456AC76D15E820.jpg,jpg,216,287
65,철골재 부식,2025-07-15,경기도,하남시,육상경기장,하남종합운동장주경기장,경기도 하남시 아리수로 600 (망월동),건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"철골재 부식, 도장 탈락 여부",25하-3(조치필요) 지상2층 본부석 북측 지붕 철골 및 접합 볼트 부식 다수,http://openapi.kspo.or.kr/web/ai/,065_2FC082931223E5E42627B003121792BB.jpg,jpg,211,282
66,철골재 부식,2025-07-28,충청남도,서천군,전천후게이트볼장,장항게이트볼장,충청남도 서천군 장항읍 성화로 26-10,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"철골재 부식, 도장 탈락 여부",25상-4(조치필요) 1층 게이트볼 코트 베이스플레이트 표면부식 다수 발생,http://openapi.kspo.or.kr/web/ai/,066_6A95AFEA73FC420B4ECF6C775AED54F9.jpg,jpg,212,283
67,철골재 부식,2025-07-31,경상남도,거창군,육상경기장,거창종합운동장,경상남도 거창군 거창읍 심소정길 39-36,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"철골재 부식, 도장 탈락 여부",25상-4(조치필요) 3층 관람석 지붕 펄린 표면부식 다수 발생,http://openapi.kspo.or.kr/web/ai/,067_F6B29B3F9CF63C6646494AECAF6DCD7E.jpg,jpg,365,273
68,철골재 부식,2025-08-14,전북특별자치도,군산시,전천후게이트볼장,월명게이트볼장,전북특별자치도 군산시 번영로 281 (사정동),건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"철골재 부식, 도장 탈락 여부",25하-1(조치필요) 실내 게이트볼장 철골 기둥 도장 박락 다수,http://openapi.kspo.or.kr/web/ai/,068_37068BCD9111C6B602A61D5D24A5099F.jpg,jpg,214,286
